"No.","Time","Source","Destination","Protocol","Length","Info","TCP header length","DSCP","DSCP Value","QoS","TOS","tcp_delta_time","tcp_rel_time"
"19047","10.835319","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16059241 Win=65535 Len=0","20","2","2","","","0.000032000","1.171349000"
"19049","10.835462","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16061877 Win=65535 Len=0","20","2","2","","","0.000129000","1.171492000"
"19050","10.835507","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16064513 Win=65535 Len=0","20","2","2","","","0.000045000","1.171537000"
"19054","10.835872","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16067433 Win=65535 Len=0","20","2","2","","","0.000032000","1.171902000"
"19056","10.835920","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16068609 Win=65535 Len=0","20","2","2","","","0.000030000","1.171950000"
"19059","10.835975","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16071529 Win=65535 Len=0","20","2","2","","","0.000030000","1.172005000"
"19061","10.836034","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16074165 Win=65535 Len=0","20","2","2","","","0.000033000","1.172064000"
"19066","10.836235","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16076801 Win=65535 Len=0","20","2","2","","","0.000032000","1.172265000"
"19068","10.836289","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16079721 Win=65535 Len=0","20","2","2","","","0.000030000","1.172319000"
"19071","10.836339","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16082357 Win=65535 Len=0","20","2","2","","","0.000029000","1.172369000"
"19073","10.836383","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16084993 Win=65535 Len=0","20","2","2","","","0.000029000","1.172413000"
"19078","10.836668","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16087913 Win=65535 Len=0","20","2","2","","","0.000037000","1.172698000"
"19084","10.836796","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16090549 Win=65535 Len=0","20","2","2","","","0.000056000","1.172826000"
"19085","10.836825","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16093185 Win=65535 Len=0","20","2","2","","","0.000029000","1.172855000"
"19086","10.836965","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16096105 Win=65535 Len=0","20","2","2","","","0.000140000","1.172995000"
"19093","10.837116","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16098741 Win=65535 Len=0","20","2","2","","","0.000031000","1.173146000"
"19094","10.837144","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16101377 Win=65535 Len=0","20","2","2","","","0.000028000","1.173174000"
"19095","10.837180","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16104297 Win=65535 Len=0","20","2","2","","","0.000036000","1.173210000"
"19096","10.837208","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16105473 Win=65535 Len=0","20","2","2","","","0.000028000","1.173238000"
