"No.","Time","Source","Destination","Protocol","Length","Info","TCP header length","DSCP","DSCP Value","QoS","TOS","tcp_delta_time","tcp_rel_time"
"40995","84.954955","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=4124936 Ack=5277 Win=65535 Len=1448 TSval=790407518 TSecr=284239[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.021378000","84.946934000"
"40996","84.967958","159.red-212-170-166.staticip.rima-tde.net","172.31.187.1","TCP","1506","29890  >  35515 [ACK] Seq=80478 Ack=406407 Win=32400 Len=1440 TSval=980370081 TSecr=284244[Packet size limited during capture]","32","Class Selector 2","CS2","","","0.087876000","82.174703000"
"40999","84.975958","c-213-112-80-192.bbcust.telenor.se","172.31.187.1","TCP","1434","19898  >  4954 [PSH, ACK] Seq=216081 Ack=715575 Win=17520 Len=1380","20","Class Selector 2","CS2","","","0.095844000","77.527307000"
"41003","84.978556","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=4126384 Ack=5277 Win=65535 Len=1448 TSval=790407519 TSecr=284240[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.023601000","84.970535000"
"41006","84.999159","190-21-6-36.baf.movistar.cl","172.31.187.1","TCP","1494","48462  >  4863 [ACK] Seq=283229 Ack=290 Win=7531 Len=1440","20","Class Selector 2","CS2","","","0.058402000","84.958752000"
"41008","84.999756","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=4127832 Ack=5277 Win=65535 Len=1448 TSval=790407519 TSecr=284240[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.021183000","84.991735000"
"41009","85.017956","89-180-134-143.net.novis.pt","172.31.187.1","TCP","1474","mc2studios(1899)  >  35515 [ACK] Seq=210458 Ack=482 Win=32286 Len=1420","20","Class Selector 2","CS2","","","0.155583000","64.214869000"
"41011","85.022358","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=4129280 Ack=5277 Win=65535 Len=1448 TSval=790407520 TSecr=284240[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.022602000","85.014337000"
"41013","85.022957","190-21-6-36.baf.movistar.cl","172.31.187.1","TCP","611","48462  >  4863 [PSH, ACK] Seq=284669 Ack=290 Win=7531 Len=557","20","Class Selector 2","CS2","","","0.023776000","84.982550000"
"41015","85.026557","159.red-212-170-166.staticip.rima-tde.net","172.31.187.1","TCP","134","29890  >  35515 [ACK] Seq=81918 Ack=410727 Win=31984 Len=68 TSval=980370081 TSecr=284244[Packet size limited during capture]","32","Class Selector 2","CS2","","","0.058553000","82.233302000"
"41019","85.032356","89-180-134-143.net.novis.pt","172.31.187.1","TCP","1474","[TCP Fast Retransmission] mc2studios(1899)  >  35515 [ACK] Seq=204778 Ack=482 Win=32286 Len=1420","20","Class Selector 2","CS2","","","0.014381000","64.229269000"
"41021","85.033957","host223.190-225-39.telecom.net.ar","172.31.187.1","TCP","1454","[TCP Retransmission] 16856  >  35515 [PSH, ACK] Seq=116103 Ack=264384 Win=65535 Len=1400","20","Class Selector 2","CS2","","","0.153859000","27.620472000"
"41023","85.044961","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=4130728 Ack=5277 Win=65535 Len=1448 TSval=790407520 TSecr=284240[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.022582000","85.036940000"
"41024","85.055357","c-213-112-80-192.bbcust.telenor.se","172.31.187.1","TCP","60","19898  >  4954 [ACK] Seq=217461 Ack=722106 Win=17520 Len=0","20","Class Selector 2","CS2","","","0.079346000","77.606706000"
"41028","85.057359","c-213-112-80-192.bbcust.telenor.se","172.31.187.1","TCP","60","[TCP Dup ACK 41024#1] 19898  >  4954 [ACK] Seq=217461 Ack=722106 Win=17520 Len=0","20","Class Selector 2","CS2","","","0.001890000","77.608708000"
"41030","85.061157","c-213-112-80-192.bbcust.telenor.se","172.31.187.1","TCP","60","[TCP Dup ACK 41024#2] 19898  >  4954 [ACK] Seq=217461 Ack=722106 Win=17520 Len=0","20","Class Selector 2","CS2","","","0.003778000","77.612506000"
