"No.","Time","Source","Destination","Protocol","Length","Info","TCP header length","DSCP","DSCP Value","QoS","TOS","tcp_delta_time","tcp_rel_time"
"17714","10.775611","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14790657 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000027000","1.111641000"
"17715","10.775617","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14792117 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000006000","1.111647000"
"17716","10.775662","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14793577 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000045000","1.111692000"
"17719","10.775806","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14794753 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000020000","1.111836000"
"17720","10.775811","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14796213 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000005000","1.111841000"
"17721","10.775819","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14797673 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000008000","1.111849000"
"17724","10.775964","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14798849 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000015000","1.111994000"
"17725","10.775968","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14800309 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000004000","1.111998000"
"17726","10.775974","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14801769 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000006000","1.112004000"
"17729","10.776165","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14802945 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000064000","1.112195000"
"17730","10.776179","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14804405 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000014000","1.112209000"
"17731","10.776210","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14805865 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000031000","1.112240000"
"17733","10.776401","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14807041 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000125000","1.112431000"
"17734","10.776422","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14808501 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000021000","1.112452000"
"17735","10.776432","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14809961 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000010000","1.112462000"
"17736","10.776437","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14811137 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000005000","1.112467000"
"17737","10.776441","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14812597 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000004000","1.112471000"
"17738","10.776449","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14814057 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000008000","1.112479000"
"17740","10.776559","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14815233 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000050000","1.112589000"
"17741","10.776571","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14816693 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000012000","1.112601000"
"17742","10.776612","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14818153 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000041000","1.112642000"
"17747","10.776985","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14819329 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000119000","1.113015000"
"17748","10.776999","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14820789 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000014000","1.113029000"
"17749","10.777007","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14822249 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000008000","1.113037000"
"17750","10.777036","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14823425 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000029000","1.113066000"
"17751","10.777042","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14824885 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000006000","1.113072000"
"17753","10.777090","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14826345 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000015000","1.113120000"
"17754","10.777191","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14827521 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000101000","1.113221000"
"17755","10.777208","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14828981 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000017000","1.113238000"
"17756","10.777214","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14830441 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000006000","1.113244000"
"17761","10.777565","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14831617 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000139000","1.113595000"
"17762","10.777579","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14833077 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000014000","1.113609000"
"17763","10.777585","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14834537 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000006000","1.113615000"
"17764","10.777620","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14835713 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000035000","1.113650000"
"17765","10.777628","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14837173 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000008000","1.113658000"
"17766","10.777632","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14838633 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000004000","1.113662000"
"17768","10.777775","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14839809 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000042000","1.113805000"
"17769","10.777783","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14841269 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000008000","1.113813000"
"17770","10.777789","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14842729 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000006000","1.113819000"
